stop_id,stop_name,lat,long,zone_id,wheelchair_boarding
ALVA,Aluva,10.1099,76.3495,ALVA,Yes
PNCU,Pulinchudu,10.0951,76.3466,PNCU,Yes
CPPY,CompanyPady,10.0873,76.3428,CPPY,Yes
ATTK,Ambattukavu,10.0793,76.3389,ATTK,Yes
MUTT,Muttom,10.0727,76.3336,MUTT,Yes
KLMT,Kalamassery,10.0586,76.322,KLMT,Yes
CCUV,Cusat,10.0467,76.3182,CCUV,Yes
PDPM,Pathadipalam,10.0361,76.3144,PDPM,Yes
EDAP,Edapally Jn.,10.0251,76.3083,EDAP,Yes
CGPP,Changampuzha Park,10.0152,76.3023,CGPP,Yes
PARV,Palarivattom,10.0064,76.3048,PARV,Yes
JLSD,JLN Stadium,10.0002,76.2989,JLSD,Yes
KALR,Kaloor,9.9943,76.2914,KALR,Yes
LSSE,Lissie Jn,9.9914,76.2884,LSSE,Yes
MGRD,MG Road,9.9834,76.2823,MGRD,Yes
MACE,Maharaja College,9.9732,76.2851,MACE,Yes